Province/State,Province/State,Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths,Active,County,State/County FIPS Code
,,,,,,,,,,
South Carolina,US,"6/19/2020, 6:33 PM",34.22,-82.46,73,0,0,73,Abbeville,45001
Louisiana,US,"6/19/2020, 6:33 PM",30.3,-92.41,639,0,32,607,Acadia,22001
Virginia,US,"6/19/2020, 6:33 PM",37.77,-75.63,"1,022",0,14,"1,008",Accomack,51001
Idaho,US,"6/19/2020, 6:33 PM",43.45,-116.24,"1,100",0,22,"1,078",Ada,16001
Iowa,US,"6/19/2020, 6:33 PM",41.33,-94.47,12,0,0,12,Adair,19001
Kentucky,US,"6/19/2020, 6:33 PM",37.1,-85.28,104,0,19,85,Adair,21001
Missouri,US,"6/19/2020, 6:33 PM",40.19,-92.6,85,0,0,85,Adair,29001
Oklahoma,US,"6/19/2020, 6:33 PM",35.88,-94.66,103,0,4,99,Adair,40001
Colorado,US,"6/19/2020, 6:33 PM",39.87,-104.34,"3,852",0,150,"3,702",Adams,8001
Idaho,US,"6/19/2020, 6:33 PM",44.89,-116.45,9,0,0,9,Adams,16003
Illinois,US,"6/19/2020, 6:33 PM",39.99,-91.19,47,0,1,46,Adams,17001
Indiana,US,"6/19/2020, 6:33 PM",40.75,-84.94,28,0,1,27,Adams,18001
Iowa,US,"6/19/2020, 6:33 PM",41.03,-94.7,7,0,0,7,Adams,19003
Mississippi,US,"6/19/2020, 6:33 PM",31.48,-91.35,227,0,18,209,Adams,28001
Nebraska,US,"6/19/2020, 6:33 PM",40.52,-98.5,280,0,11,269,Adams,31001
Ohio,US,"6/19/2020, 6:33 PM",38.85,-83.47,18,0,1,17,Adams,39001
Pennsylvania,US,"6/19/2020, 6:33 PM",39.87,-77.22,309,0,11,298,Adams,42001
Washington,US,"6/19/2020, 6:33 PM",46.98,-118.56,101,0,0,101,Adams,53001
Wisconsin,US,"6/19/2020, 6:33 PM",43.97,-89.77,10,0,2,8,Adams,55001
Vermont,US,"6/19/2020, 6:33 PM",44.03,-73.14,67,0,2,65,Addison,50001
South Carolina,US,"6/19/2020, 6:33 PM",33.54,-81.64,261,0,9,252,Aiken,45003
Minnesota,US,"6/19/2020, 6:33 PM",46.61,-93.41,13,0,0,13,Aitkin,27001
Florida,US,"6/19/2020, 6:33 PM",29.68,-82.36,633,0,11,622,Alachua,12001
North Carolina,US,"6/19/2020, 6:33 PM",36.04,-79.4,838,0,35,803,Alamance,37001
California,US,"6/19/2020, 6:33 PM",37.65,-121.89,"4,819",0,119,"4,700",Alameda,6001
Colorado,US,"6/19/2020, 6:33 PM",37.57,-105.79,150,0,3,147,Alamosa,8003
New York,US,"6/19/2020, 6:33 PM",42.6,-73.98,"2,049",0,118,"1,931",Albany,36001
Wyoming,US,"6/19/2020, 6:33 PM",41.65,-105.72,28,0,0,28,Albany,56001
Virginia,US,"6/19/2020, 6:33 PM",38.02,-78.55,304,0,8,296,Albemarle,51003
Michigan,US,"6/19/2020, 6:33 PM",44.68,-83.6,21,0,1,20,Alcona,26001
Mississippi,US,"6/19/2020, 6:33 PM",34.88,-88.58,32,0,1,31,Alcorn,28003
Illinois,US,"6/19/2020, 6:33 PM",37.18,-89.33,18,0,0,18,Alexander,17003
North Carolina,US,"6/19/2020, 6:33 PM",35.92,-81.18,56,0,0,56,Alexander,37003
Virginia,US,"6/19/2020, 6:33 PM",38.81,-77.08,"2,198",0,48,"2,150",Alexandria,51510
Oklahoma,US,"6/19/2020, 6:33 PM",36.73,-98.32,1,0,0,1,Alfalfa,40003
Michigan,US,"6/19/2020, 6:33 PM",46.41,-86.6,2,0,0,2,Alger,26003
Iowa,US,"6/19/2020, 6:33 PM",43.28,-91.38,121,0,4,117,Allamakee,19005
Michigan,US,"6/19/2020, 6:33 PM",42.59,-85.89,292,0,6,286,Allegan,26005
Maryland,US,"6/19/2020, 6:33 PM",39.62,-78.69,187,0,17,170,Allegany,24001
New York,US,"6/19/2020, 6:33 PM",42.26,-78.03,58,0,0,58,Allegany,36003
North Carolina,US,"6/19/2020, 6:33 PM",36.49,-81.13,30,0,0,30,Alleghany,37005
Virginia,US,"6/19/2020, 6:33 PM",37.79,-80,30,0,2,28,Alleghany,51005
Pennsylvania,US,"6/19/2020, 6:33 PM",40.47,-79.98,"2,139",0,178,"1,961",Allegheny,42003
Indiana,US,"6/19/2020, 6:33 PM",41.09,-85.07,"2,331",0,91,"2,240",Allen,18003
Kansas,US,"6/19/2020, 6:33 PM",37.89,-95.3,2,0,0,2,Allen,20001
Kentucky,US,"6/19/2020, 6:33 PM",36.75,-86.19,145,0,4,141,Allen,21003
Louisiana,US,"6/19/2020, 6:33 PM",30.65,-92.82,223,0,10,213,Allen,22003
Ohio,US,"6/19/2020, 6:33 PM",40.77,-84.11,247,0,37,210,Allen,39003
South Carolina,US,"6/19/2020, 6:33 PM",32.99,-81.35,45,0,3,42,Allendale,45005
Michigan,US,"6/19/2020, 6:33 PM",45.03,-83.62,115,0,11,104,Alpena,26007
California,US,"6/19/2020, 6:33 PM",38.6,-119.82,2,0,0,2,Alpine,6003
California,US,"6/19/2020, 6:33 PM",38.45,-120.66,12,0,0,12,Amador,6005
Virginia,US,"6/19/2020, 6:33 PM",37.34,-77.99,41,0,1,40,Amelia,51007
Virginia,US,"6/19/2020, 6:33 PM",37.6,-79.15,28,0,0,28,Amherst,51009
Mississippi,US,"6/19/2020, 6:33 PM",31.17,-90.81,73,0,2,71,Amite,28005
Alaska,US,"6/19/2020, 6:33 PM",61.15,-149.14,338,0,6,332,Anchorage,2020
Kansas,US,"6/19/2020, 6:33 PM",38.21,-95.29,3,0,0,3,Anderson,20003
Kentucky,US,"6/19/2020, 6:33 PM",38.01,-84.99,27,0,1,26,Anderson,21005
South Carolina,US,"6/19/2020, 6:33 PM",34.52,-82.64,400,0,10,390,Anderson,45007
Tennessee,US,"6/19/2020, 6:33 PM",36.13,-84.2,74,0,2,72,Anderson,47001
Texas,US,"6/19/2020, 6:33 PM",31.82,-95.65,"1,007",0,2,"1,005",Anderson,48001
Missouri,US,"6/19/2020, 6:33 PM",39.98,-94.8,39,0,0,39,Andrew,29003
